binary,zeros,class
089500d082e099ec9093000080930000809100009091000090930000809300008091000090910000909300008093000080910000909100009093000080930000,75,avr
1fa724001d4810b066182154205072583050725810b0608a30100018131921a724000e4810b0661821542050725810b060892010001812a7f400044810b06654,34,s390
61f8711884036115411189e361f87118840363e361f8711c84036132d280e413650b4209000362233301894ea00900e361f8711c84036115411589e361f87118,15,sh4
0000017a520004781a011b0d1e001800000018000000000000004800000000430e10469a0248da0e00000000ba2700005ea70004ff470000bd231000de230180,68,alphaev56
4100e21aa00900715663655c353d566b661f7653616d41136672643d555b6543615d416b2171573d533b6373623d4204a00900e361047111521261136023610c,14,sh4
b04fa05f20000041b001005f20000041b02d005f2000005eb700001022000041b01f04ff4700405b6b0000ba2700005ea70004ff470000bd231000de230180fa,58,alphaev56
ac040065ad1c008010140040ade9ff04241000e4ac1c00ca8c1800488c1000e68c0000023c4600042400004aac000048ac000044ac000044ac000040ac000046,54,mipsel
0000000000a40100000002490e10420e08560e100342010e08b9337bcb818a6c2883e80175fb4883ec08eb16832d00000000010fb605000000008b0500000000,58,x86_64
30e08f3f4fef940701f020e030e03093000020930000009701f400c02091000021502093000020e030e0309300002093000020e030e030930000209300002091,65,avr
000000053c032604000000a4ac000063241c00bfaf010063900016020003160200001e03000000043c031e03007d0042282130000021380000000084240000a3,67,mipsel
fc84112000c2006000c600a02086103fffc62040000300000007000000fa00e000fa2060008610e000fa00e004fa206000fa00e008fa206000fa00e00cfa2060,66,sparc
bf0fbecdbfdf91cf911f910f91ff90ef90df90cf90bf90af909f908f907f906f905f904f903f902f900895af92bf92cf92df92ef92ff920f931f93cf93df93cd,18,avr
3091000030930000209300009093000080930000808191819093000080930000828193819093000080930000848190e090930000809300001f921f921f921f92,58,avr
c0000000002279000000002079000000004a905ec144010601ffd6024100ff3001c0fc469f42404840e8483400e54a3600eb4b304390c2d048e348b001661420,48,m68k
04c087e5041087e5044087e5feffffeb0400a0e10cd08de2f04fbde81eff2fe1000000000000000000000000ff2002e2020052e30820c0e50360a0e1c8ffff9a,48,arm
11a7c4fefd581053a643101000a71a00011821581053a642201000581053a643101000541053861211a784fec7a71800005010b0845810538258101000182158,31,s390
890002409dff70813f00143929ffff913f00143d200000812900003d40bf6c614a481f91490000a13f00405529063e7d234b78397f005083ebfffc7d615b784e,30,powerpc
202e000c1d41fffe1d40fffc4a2efffe6f204a2efffc6f1a102efffe49c0122efffc49c1767f4c4138022203b2806d0000824a2efffe6f1e4a2efffc6e18102e,16,m68k
32212d62222135d22162222134d221622d62222133d22062222133d22263322121533221225332212353322124533221255222212c9222212cd2218420630c60,4,sh4
6010f220a000d420a000ba176000f2176004b32e6010b33e6010f220a000f2176006b32e6010b3366010f220a000f20f6008f220a000f2076008b32e6008b33e,45,sparc
fffc49c0122efffe49c1767f4c4138022203b2806e0e122efffe102efffcc1c110006004102efffe241f261f4e5e4e754e56fffc2f02222e0008202e000c1d41,20,m68k
0e108602430d0602580c070800001c000000dc0a0000000000005d00000000410e108602430d0602580c070800001c000000fc0a000000000000a20000000041,80,x86_64
558f4ebaff6e518f2c00200f48780009486effee2f0045f9000000004e924fef000c8e862f071c0249c62f064ebaff084fef00143f054267b04352c049c04480,31,m68k
09c0200029087cfbc02000b908c02000e908c020009809f10000c020009908910000290fc020009908910000f10000c020009908910000e90fc020009829e100,64,xtensa
0000014a00670ef22e54000008f22e542000106006f22e540000084e5e4e754e560000f22e44000008f23c4438cf000000f240001544000a0000014a006728f2,52,m68k
9b8bc5c76d7be71180b87580a07500aa1180bb01a0bb2080987480a911910000909b10a0992080807422af002029108022201df00000003681000c0206020010,43,xtensa
e21c0093e518c093e518019fe51cc093e5011041e20228a0e10c0020e02228a0e1170071e31c0083e5bc20c3e12c1083e5148083e5209083e5005086e5dc009f,29,arm
